"customerName","firstName","lastName"
"Atelier graphique","Gerard","Hernandez"
"Signal Gift Stores","Leslie","Thompson"
"Australian Collectors, Co.","Andy","Fixter"
"La Rochelle Gifts","Gerard","Hernandez"
"Baane Mini Imports","Barry","Jones"
"Mini Gifts Distributors Ltd.","Leslie","Jennings"
"Havel & Zbyszek Co","",""
"Blauer See Auto, Co.","Barry","Jones"
"Mini Wheels Co.","Leslie","Jennings"
"Land of Toys Inc.","George","Vanauf"
"Euro+ Shopping Channel","Gerard","Hernandez"
"Volvo Model Replicas, Co","Barry","Jones"
"Danish Wholesale Imports","Pamela","Castillo"
"Saveley & Henriot, Co.","Loui","Bondur"
"Dragon Souveniers, Ltd.","Mami","Nishi"
"Muscle Machine Inc","Foon Yue","Tseng"
"Diecast Classics Inc.","Steve","Patterson"
"Technics Stores Inc.","Leslie","Jennings"
"Handji Gifts& Co","Peter","Marsh"
"Herkku Gifts","Barry","Jones"
"American Souvenirs Inc","Foon Yue","Tseng"
"Porto Imports Co.","",""
"Daedalus Designs Imports","Gerard","Hernandez"
"La Corne D'abondance, Co.","Loui","Bondur"
"Cambridge Collectables Co.","Julie","Firrelli"
"Gift Depot Inc.","George","Vanauf"
"Osaka Souveniers Co.","Mami","Nishi"
"Vitachrome Inc.","Foon Yue","Tseng"
"Toys of Finland, Co.","Larry","Bott"
"AV Stores, Co.","Larry","Bott"
"Clover Collections, Co.","Barry","Jones"
"Auto-Moto Classics Inc.","Steve","Patterson"
"UK Collectables, Ltd.","Larry","Bott"
"Canadian Gift Exchange Network","George","Vanauf"
"Online Mini Collectables","Julie","Firrelli"
"Toys4GrownUps.com","Leslie","Thompson"
"Asian Shopping Network, Co","",""
"Mini Caravy","Gerard","Hernandez"
"King Kong Collectables, Co.","Mami","Nishi"
"Enaco Distributors","Martin","Gerard"
"Boards & Toys Co.","Leslie","Thompson"
"Natürlich Autos","",""
"Heintze Collectables","Pamela","Castillo"
"Québec Home Shopping Network","Foon Yue","Tseng"
"ANG Resellers","",""
"Collectable Mini Designs Co.","Leslie","Thompson"
"giftsbymail.co.uk","Larry","Bott"
"Alpha Cognac","Gerard","Hernandez"
"Messner Shopping Network","",""
"Amica Models & Co.","Pamela","Castillo"
"Lyon Souveniers","Loui","Bondur"
"Auto Associés & Cie.","Gerard","Hernandez"
"Toms Spezialitäten, Ltd","Barry","Jones"
"Royal Canadian Collectables, Ltd.","George","Vanauf"
"Franken Gifts, Co","",""
"Anna's Decorations, Ltd","Andy","Fixter"
"Rovelli Gifts","Pamela","Castillo"
"Souveniers And Things Co.","Andy","Fixter"
"Marta's Replicas Co.","Steve","Patterson"
"BG&E Collectables","",""
"Vida Sport, Ltd","Martin","Gerard"
"Norway Gifts By Mail, Co.","Barry","Jones"
"Schuyler Imports","",""
"Der Hund Imports","",""
"Oulu Toy Supplies, Inc.","Larry","Bott"
"Petit Auto","Pamela","Castillo"
"Mini Classics","George","Vanauf"
"Mini Creations Ltd.","Julie","Firrelli"
"Corporate Gift Ideas Co.","Leslie","Jennings"
"Down Under Souveniers, Inc","Peter","Marsh"
"Stylish Desk Decors, Co.","Larry","Bott"
"Tekni Collectables Inc.","George","Vanauf"
"Australian Gift Network, Co","Andy","Fixter"
"Suominen Souveniers","Larry","Bott"
"Cramer Spezialitäten, Ltd","",""
"Classic Gift Ideas, Inc","Julie","Firrelli"
"CAF Imports","Martin","Gerard"
"Men 'R' US Retailers, Ltd.","Leslie","Thompson"
"Asian Treasures, Inc.","",""
"Marseille Mini Autos","Loui","Bondur"
"Reims Collectables","Loui","Bondur"
"SAR Distributors, Co","",""
"GiftsForHim.com","Peter","Marsh"
"Kommission Auto","",""
"Gifts4AllAges.com","Steve","Patterson"
"Online Diecast Creations Co.","Steve","Patterson"
"Lisboa Souveniers, Inc","",""
"Precious Collectables","Martin","Gerard"
"Collectables For Less Inc.","Julie","Firrelli"
"Royale Belge","Pamela","Castillo"
"Salzburg Collectables","Pamela","Castillo"
"Cruz & Sons Co.","Mami","Nishi"
"L'ordine Souveniers","Pamela","Castillo"
"Tokyo Collectables, Ltd","Mami","Nishi"
"Auto Canal+ Petit","Loui","Bondur"
"Stuttgart Collectable Exchange","",""
"Extreme Desk Decorations, Ltd","Peter","Marsh"
"Bavarian Collectables Imports, Co.","Barry","Jones"
"Classic Legends Inc.","Foon Yue","Tseng"
"Feuer Online Stores, Inc","",""
"Gift Ideas Corp.","George","Vanauf"
"Scandinavian Gift Ideas","Barry","Jones"
"The Sharp Gifts Warehouse","Leslie","Jennings"
"Mini Auto Werke","Pamela","Castillo"
"Super Scale Inc.","Foon Yue","Tseng"
"Microscale Inc.","Foon Yue","Tseng"
"Corrida Auto Replicas, Ltd","Martin","Gerard"
"Warburg Exchange","",""
"FunGiftIdeas.com","Steve","Patterson"
"Anton Designs, Ltd.","",""
"Australian Collectables, Ltd","Andy","Fixter"
"Frau da Collezione","Pamela","Castillo"
"West Coast Collectables Co.","Leslie","Thompson"
"Mit Vergnügen & Co.","",""
"Kremlin Collectables, Co.","",""
"Raanan Stores, Inc","",""
"Iberia Gift Imports, Corp.","Martin","Gerard"
"Motor Mint Distributors Inc.","George","Vanauf"
"Signal Collectibles Ltd.","Leslie","Jennings"
"Double Decker Gift Stores, Ltd","Larry","Bott"
"Diecast Collectables","Julie","Firrelli"
"Kelly's Gift Shop","Peter","Marsh"
